"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"4acaea59-3f26-37fe-8de4-30c7f521e5de","Mudbound",2017,"https://www.rottentomatoes.com/m/mudbound",213,"97%","85%"
"571cafd6-c661-3711-b892-4ff1aacfa859","Boyz N the Hood",1991,"https://www.rottentomatoes.com/m/boyz_n_the_hood",214,"96%","93%"
"6efec895-e7b3-385d-86db-231bd7082519","Brazil",1985,"https://www.rottentomatoes.com/m/1003033-brazil",215,"98%","90%"
"72bda3c6-a5bc-3b10-88b5-c6c34dadc3d2","Hidden Figures",2016,"https://www.rottentomatoes.com/m/hidden_figures",216,"93%","93%"
"ea78c5ab-0c93-34ef-8da0-1e13790bac75","Grand Illusion",1937,"https://www.rottentomatoes.com/m/la_grande_illusion",217,"97%","92%"
"83342eb4-00a6-3d1c-a600-c25a98712a23","The Conversation",1974,"https://www.rottentomatoes.com/m/the_conversation",218,"97%","89%"
"4b2729c4-16f5-3a7b-887a-ff4b52d65612","Fargo",1996,"https://www.rottentomatoes.com/m/fargo",219,"94%","92%"
"c34a854c-87a1-3fcf-add2-e0cdf9431ada","Diabolique",1955,"https://www.rottentomatoes.com/m/1032980-diabolique",220,"95%","93%"
"27fff146-dd57-3200-81e0-b7fe769c0681","The Apartment",1960,"https://www.rottentomatoes.com/m/1001115-apartment",221,"94%","94%"
"133cb402-94d7-32ce-a365-513a842dba40","Apollo 13",1995,"https://www.rottentomatoes.com/m/apollo_13",222,"96%","87%"
"8a8e1538-93fb-30e7-acd5-b51149a8b7e0","Princess Mononoke",1997,"https://www.rottentomatoes.com/m/princess_mononoke",223,"93%","94%"
"2aac47a6-a713-33d0-a234-a57e3ad8eff7","Umberto D",1952,"https://www.rottentomatoes.com/m/umberto_d",224,"98%","93%"
"e1374d4d-19b0-31b2-a6cc-c4189f2b27ca","Black Panther",2018,"https://www.rottentomatoes.com/m/black_panther_2018",225,"96%","79%"
"bd14ccf8-022d-353a-8268-2acd79371fc7","Bringing Up Baby",1938,"https://www.rottentomatoes.com/m/bringing_up_baby",226,"97%","89%"
"dc74668b-88d6-3a55-be5e-4c76e7c32591","The Sting",1973,"https://www.rottentomatoes.com/m/1020130-sting",227,"93%","95%"
"19b3ce59-1a84-3c4c-8bcf-0cd5e9c88cbf","Logan",2017,"https://www.rottentomatoes.com/m/logan_2017",228,"93%","90%"
"0009c18f-a374-3d9d-a7da-ad5395b67b13","Nightcrawler",2014,"https://www.rottentomatoes.com/m/nightcrawler",229,"95%","86%"
"c23449c7-5b4c-344f-8a6b-36fc401dcdff","The Departed",2006,"https://www.rottentomatoes.com/m/departed",230,"91%","94%"
"b18eb92d-307a-3655-9b25-849b0e2d17bc","Juno",2007,"https://www.rottentomatoes.com/m/juno",231,"94%","88%"
"10403703-a3e9-3c52-afd4-ac7d32a0a95a","Hero",2002,"https://www.rottentomatoes.com/m/hero",232,"94%","87%"
"41a1ba9d-d335-381f-a14e-4d7f30ae86aa","Shaun of the Dead",2004,"https://www.rottentomatoes.com/m/shaun_of_the_dead",233,"92%","93%"
"4e702a02-b28e-3ac5-89f2-c241ffe2edf2","Stagecoach",1939,"https://www.rottentomatoes.com/m/1019774-stagecoach",234,"100%","86%"
"db357343-dac7-3aa1-9e13-c9b78c02b1f5","Back to the Future",1985,"https://www.rottentomatoes.com/m/back_to_the_future",235,"93%","95%"
